Symbol
SOXS
TZA
TSLL
NVD
BMNU
BITO
SOXL
TQQQ
BMNG
SQQQ
TSIG
UVIX
SPDN
PLTD
QQQ
SPY
AMDD
XLE
HYG
QID
SCO
EWZ
TSDD
SMCL
IBIT
MSTU
CRWG
XLF
AMDL
EEM
DRIP
XLU
TLT
IGV
OKLL
IWM
RWM
FXI
LQD
MSTZ
SCHD
KWEB
DAMD
ETHA
SGOV
SLV
NOWL
KRE
MSOS
EWY
SCHX
SPXS
GDX
USO
GGLS
EFA
NVDX
SMH
USHY
SPTL
CRCC
UNG
SPAB
CONL
NVDL
DRAM
BITC
XLP
XLK
AMZD
SPXU
TSIQ
SCHG
UVXY
PSQ
SOXX
VEA
IONZ
IEFA
RSP
BOIL
SH
QQQI
IEMG
SCHF
XLV
ARKK
XLI
SCHB
VXX
SPYM
TNA
XLB
EMB
JAAA
BIL
SNXX
BITX
FNGU
MSFU
